codigo;epp;salacom;los_andes;huechun;saladillo;planta_filtro;mina_sub;concentrador;sur;hombre;mujer;verano;invierno;mecanico;electrico;general;tipo;talla
4175212;BANDANA MULTIFUNCIONAL ALTA CORDILLERA;si;si;si;si;si;si;si;si;si;si;no;si;si;si;si;BANDANA;0
4171922;BOTA DE SEGURIDAD FRIO EXTREMO T-37;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;37
4169006;BOTA SEG FRIO EXTREMO IMPERMEABLE T-38;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;38
4003636;BOTA SEG FRIO EXTREMO IMPERMEABLE T-39;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;39
4003637;BOTA SEG FRIO EXTREMO IMPERMEABLE T-40;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;40
4003638;BOTA SEG FRIO EXTREMO IMPERMEABLE T-41;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;41
4003639;BOTA SEG FRIO EXTREMO IMPERMEABLE T-42;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;42
4003640;BOTA SEG FRIO EXTREMO IMPERMEABLE T-43;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;43
4003641;BOTA SEG FRIO EXTREMO IMPERMEABLE T-44;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;44
4162901;BOTA SEG FRIO EXTREMO IMPERMEABLE T-45;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;45
4162902;BOTA SEG FRIO EXTREMO IMPERMEABLE T-46;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;46
4162996;BOTA SEG FRIO EXTREMO IMPERMEABLE T-47;no;no;si;no;si;si;si;si;si;si;no;si;si;si;si;ZAPATO;47
4060797;BOTIN DE SEGURIDAD AISLANTE 39;si;si;si;si;si;si;si;si;si;no;si;no;no;si;no;ZAPATO_ELECTRICO;39
4060798;BOTIN DE SEGURIDAD AISLANTE 40;si;si;si;si;si;si;si;si;si;no;si;no;no;si;no;ZAPATO_ELECTRICO;40
4060799;BOTIN DE SEGURIDAD AISLANTE 41;si;si;si;si;si;si;si;si;si;no;si;no;no;si;no;ZAPATO_ELECTRICO;41
4060850;BOTIN DE SEGURIDAD AISLANTE 42;si;si;si;si;si;si;si;si;si;no;si;no;no;si;no;ZAPATO_ELECTRICO;42
4060851;BOTIN DE SEGURIDAD AISLANTE 43;si;si;si;si;si;si;si;si;si;no;si;no;no;si;no;ZAPATO_ELECTRICO;43
4060852;BOTIN DE SEGURIDAD AISLANTE 44;si;si;si;si;si;si;si;si;si;no;si;no;no;si;no;ZAPATO_ELECTRICO;44
4058520;BOTIN SEG GRAL DIELECTRICO DAMA NRO.36;si;si;si;si;si;si;si;si;no;si;si;no;no;no;si;ZAPATO;36
4058521;BOTIN SEG GRAL DIELECTRICO DAMA NRO.37;si;si;si;si;si;si;si;si;no;si;si;no;no;no;si;ZAPATO;37
4038951;BOTIN SEG GRAL DIELECTRICO DAMA NRO.38;si;si;si;si;si;si;si;si;no;si;si;no;no;no;si;ZAPATO;38
4058523;BOTIN SEG GRAL DIELECTRICO DAMA NRO.39;si;si;si;si;si;si;si;si;no;si;si;no;no;no;si;ZAPATO;39
4058921;BOTIN SEG GRAL DIELECTRICO DAMA NRO.40;si;si;si;si;si;si;si;si;no;si;si;no;no;no;si;ZAPATO;40
4020433;BOTIN USO GENERAL NRO. 39 RZ;si;si;si;si;si;si;si;si;si;no;si;no;si;no;si;ZAPATO;39 RZ
4020434;BOTIN USO GENERAL NRO. 40 RZ;si;si;si;si;si;si;si;si;si;no;si;no;si;no;si;ZAPATO; 40 RZ
4087208;BOTIN USO GENERAL NRO. 41 RZ;si;si;si;si;si;si;si;si;si;no;si;no;si;no;si;ZAPATO;41 RZ
4087209;BOTIN USO GENERAL NRO. 42 RZ;si;si;si;si;si;si;si;si;si;no;si;no;si;no;si;ZAPATO;42 RZ
4087210;BOTIN USO GENERAL NRO. 43 RZ;si;si;si;si;si;si;si;si;si;no;si;no;si;no;si;ZAPATO; 43 RZ
4095824;BOTIN USO GENERAL NRO. 44 RZ;si;si;si;si;si;si;si;si;si;no;si;no;si;no;si;ZAPATO; 44 RZ
4095825;BOTIN USO GENERAL NRO. 45 RZ;si;si;si;si;si;si;si;si;si;no;si;no;si;no;si;ZAPATO;45 RZ
4060990;BUZO ANTIGRASA VARON T46 S MANTENEDOR;si;si;si;si;si;si;si;si;si;si;si;si;si;no;no;BUZO_MECANICO;46
4060991;BUZO ANTIGRASA VARON T48 M MANTENEDOR;si;si;si;si;si;si;si;si;si;si;si;si;si;no;no;BUZO_MECANICO;48
4060992;BUZO ANTIGRASA VARON T50 L MANTENEDOR;si;si;si;si;si;si;si;si;si;si;si;si;si;no;no;BUZO_MECANICO;50
