material;descripcion;categoria;genero;medida
4157701;ANTEOJO SEGURIDAD PYRAMEX SB7080SDT;ANTEOJOS;unisex;UN
4071507;ARNES SEGURIDAD PARACAIDISTA 278338;ARNES;unisex;UN
4175212;BANDANA MULTIFUNCIONAL ALTA CORDILLERA;BANDANA;unisex;UN
4003536;BARBIQUEJO ELASTICO GANCHO 278063;BARBIQUEJOS;unisex;UN
4039123;BARBIQUEJO P/CASCO;BARBIQUEJOS;unisex;UN
4090102;BLOQUEADOR SOLAR FILTRO UVB UVA;BLOQUEADORES;unisex;TU
4158659;BLUSA MATERNAL T-38 GRIS/BEIGE;BLUSAS;dama;UN
4158662;BLUSA MATERNAL T-44 GRIS/BEIGE;BLUSAS;dama;UN
4158663;BLUSA MATERNAL T-46 GRIS/BEIGE;BLUSAS;dama;UN
4158664;BLUSA MATERNAL T-48 GRIS/BEIGE;BLUSAS;dama;UN
4158665;BLUSA MATERNAL T-50 GRIS/BEIGE;BLUSAS;dama;UN
4158666;BLUSA MATERNAL T-52 GRIS/BEIGE;BLUSAS;dama;UN
4160067;BLUSA VERANO PROT. UV T-M;BLUSAS;dama;UN
4160066;BLUSA VERANO PROT. UV T-S;BLUSAS;dama;UN
4160065;BLUSA VERANO PROT. UV T-XS;BLUSAS;dama;UN
4125528;BLUSA VERANO PROTEC UV DAMA T-L;BLUSAS;dama;UN
4125527;BLUSA VERANO PROTEC UV DAMA T-M;BLUSAS;dama;UN
4125525;BLUSA VERANO PROTEC UV DAMA T-S;BLUSAS;dama;UN
4125529;BLUSA VERANO PROTEC UV DAMA T-XL;BLUSAS;dama;UN
4125526;BLUSA VERANO PROTEC UV DAMA T-XS;BLUSAS;dama;UN
4175129;BOTA ALTA CORDILLERA T-37;BOTAS;varon;UN
4175129;BOTA ALTA CORDILLERA T-37;BOTAS;varon;UN
4175130;BOTA ALTA CORDILLERA T-38;BOTAS;varon;UN
4175130;BOTA ALTA CORDILLERA T-38;BOTAS;varon;UN
4175161;BOTA ALTA CORDILLERA T-39;BOTAS;varon;UN
4175161;BOTA ALTA CORDILLERA T-39;BOTAS;varon;UN
4175164;BOTA ALTA CORDILLERA T-42;BOTAS;varon;UN
4175164;BOTA ALTA CORDILLERA T-42;BOTAS;varon;UN
4175166;BOTA ALTA CORDILLERA T-44;BOTAS;varon;UN
4175166;BOTA ALTA CORDILLERA T-44;BOTAS;varon;UN
4175167;BOTA ALTA CORDILLERA T-45;BOTAS;varon;UN
4175167;BOTA ALTA CORDILLERA T-45;BOTAS;varon;UN
4175168;BOTA ALTA CORDILLERA T-46;BOTAS;varon;UN
4175168;BOTA ALTA CORDILLERA T-46;BOTAS;varon;UN
4116040;BOTA SEG CUERO ALTA MONTAÑA T-36;BOTAS;varon;PAA
4116101;BOTA SEG CUERO ALTA MONTAÑA T-37;BOTAS;varon;PAA
4003663;BOTA SEG CUERO ALTA MONTAÑA T-38;BOTAS;varon;PAA
4003664;BOTA SEG CUERO ALTA MONTAÑA T-39;BOTAS;varon;PAA
4003666;BOTA SEG CUERO ALTA MONTAÑA T-41;BOTAS;varon;PAA
4003670;BOTA SEG CUERO ALTA MONTAÑA T-45;BOTAS;varon;PAA
4169006;BOTA SEG TERMICA FRIO EXTREMO T-38;BOTAS;varon;PAA
4169006;BOTA SEG TERMICA FRIO EXTREMO T-38;BOTAS;varon;PAA
4003636;BOTA SEG TERMICA FRIO EXTREMO T-39;BOTAS;varon;PAA
4003636;BOTA SEG TERMICA FRIO EXTREMO T-39;BOTAS;varon;PAA
4003637;BOTA SEG TERMICA FRIO EXTREMO T-40;BOTAS;varon;PAA
4003637;BOTA SEG TERMICA FRIO EXTREMO T-40;BOTAS;varon;PAA
4003638;BOTA SEG TERMICA FRIO EXTREMO T-41;BOTAS;varon;PAA
4003638;BOTA SEG TERMICA FRIO EXTREMO T-41;BOTAS;varon;PAA
4003639;BOTA SEG TERMICA FRIO EXTREMO T-42;BOTAS;varon;PAA
4003639;BOTA SEG TERMICA FRIO EXTREMO T-42;BOTAS;varon;PAA
4003640;BOTA SEG TERMICA FRIO EXTREMO T-43;BOTAS;varon;PAA
4003640;BOTA SEG TERMICA FRIO EXTREMO T-43;BOTAS;varon;PAA
4003641;BOTA SEG TERMICA FRIO EXTREMO T-44;BOTAS;varon;PAA
4003641;BOTA SEG TERMICA FRIO EXTREMO T-44;BOTAS;varon;PAA
4162901;BOTA SEG TERMICA FRIO EXTREMO T-45;BOTAS;varon;PAA
4162901;BOTA SEG TERMICA FRIO EXTREMO T-45;BOTAS;varon;PAA
4162902;BOTA SEG TERMICA FRIO EXTREMO T-46;BOTAS;varon;PAA
4162902;BOTA SEG TERMICA FRIO EXTREMO T-46;BOTAS;varon;PAA
4162996;BOTA SEG TERMICA FRIO EXTREMO T-47;BOTAS;varon;UN
4162996;BOTA SEG TERMICA FRIO EXTREMO T-47;BOTAS;varon;UN
4054062;BOTA SEGURIDAD 41 ANTIACIDA;BOTAS;varon;PAA
4122127;BOTIN SEG CUERO GRAL DAMA T-35;BOTINES;dama;PAA
4058520;BOTIN SEG CUERO GRAL DAMA T-36;BOTINES;dama;PAA
4058521;BOTIN SEG CUERO GRAL DAMA T-37;BOTINES;dama;PAA
4038951;BOTIN SEG CUERO GRAL DAMA T-38;BOTINES;dama;PAA
4058523;BOTIN SEG CUERO GRAL DAMA T-39;BOTINES;dama;PAA
4058921;BOTIN SEG CUERO GRAL DAMA T-40;BOTINES;dama;PAA
4126414;BOTIN SEG CUERO GRAL DAMA T-41;BOTINES;dama;UN
4038971;BOTIN SEG CUERO GRAL VARON T-46;BOTINES;varon;PAA
4156385;BOTIN SEG IMPL UNISEX CUERO T-36;BOTINES;unisex;PAA
4156385;BOTIN SEG IMPL UNISEX CUERO T-36;BOTINES;unisex;PAA
4155462;BOTIN SEG IMPL UNISEX CUERO T-38;BOTINES;unisex;PAA
4155462;BOTIN SEG IMPL UNISEX CUERO T-38;BOTINES;unisex;PAA
